tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2018-01-19,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Rusun Sidang Kakap I Lt.1 No.10,Koja,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-19,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Darma Wangsa X No.120A,Cipete Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,60000000,,
2018-01-20,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Belakang RPTRA KWC,Pulau Tidung,Kep. Seribu Selatan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-20,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Kav. Polri, Jelambar Madya, Blok A19, No. 425",Jelambar,Grogol Petamburan, Kota Administrasi Jakarta Barat,1,2000000000,,
2018-01-20,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Dermaga Sudin Perikanan,Pulau Panggang,Kep. Seribu Utara, Kota Administrasi Jakarta Utara,0,10000000,,
2018-01-20,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Pembina 1, No. 98",Baru,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Cilandak KKO,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-20,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Raya Bekasi, Km. 21, No. 90",Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,10,500000000,,
2018-01-20,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Pasar Inpres,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Marga Satwa,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Tiang Bendera  V No. 36,Roa Malaka,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Pintu Kecil,Roa Malaka,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl. Jelambar Timur,jelambar Baru,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2018-01-20,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Bangun Nusa ,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-21,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Tol Tanjung Priok, Km. 36.500 (Arah Kebon Bawang)",Lagoa,Koja, Kota Administrasi Jakarta Utara,0,75000000,,
2018-01-21,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pagelarang - Taman Bambu,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-21,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl.Sunter Jaya,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-21,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Asrama Palad II,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-21,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Penggilingan,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-21,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl.Pademangan III Gg 13,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-22,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Melati III,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-22,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Cakung Cilincing Tol KM 60,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-21,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Raya Lenteng Agung No 37,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-21,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Lingkungan Johar Baru,Johar Baru,Johar Baru, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-21,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Jl.Suryopranoto,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-21,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.Aren II,Gg.Sate",Tangerang,Tangerang,Kota Tangerang,1,30000000,,
2018-01-22,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Belakang Kantor PANWASLU Pulau Karya,Pulau Panggang,Kep. Seribu Utara, Kota Administrasi Jakarta Utara,0,0,,
2018-01-22,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. TB Simatupang ,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-22,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Komplek Taman Mini Padepokan No.33,Bambu Apus,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-22,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Gandaria II,Gedong,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-22,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Lautze No.12,Kartini,Sawah Besar, Kota Administrasi Jakarta Pusat,0,10000000,,
2018-01-23,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. Jum'at No.1,Lebak bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-23,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Pemadam,Jl. Saharja 1,Manggarai ,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-23,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Taruna XIV,Serdang,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-23,Penyelamatan,Pohon Tumbang,Masyarakat Datang, Jl. Jatipadang,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-23,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Kp. Muka, Kebon Sayur Blok E",Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,40000000,,
2018-01-23,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Anggrek No.14,Rawa Badak Utara,Koja, Kota Administrasi Jakarta Utara,1,50000,,
2018-01-23,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Mas Mansyur (Underpass Tanah Abang),Kampung Bali ,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-23,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Pemadam,Jl. M. Kahfi I,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-24,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Srengseng Raya No. 251,Srengseng,Kembangan, Kota Administrasi Jakarta Barat,0,350000000,,
2018-01-24,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Jamblang III No 6A,Duri Selatan,Tambora, Kota Administrasi Jakarta Barat,1,50000000,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl.Kesayangan Blok LIII No 24,Citra II",Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2018-01-24,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl.Inspeksi Cengkareng Drain,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kemuning Raya.Bambu Larangan,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kavling Polri Blok G No 49,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Dirgantara III.Pemancingan Puspita,Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2018-01-24,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.H.Baun,Lebak bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,10000000,,
2018-01-24,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Raya Lenteng Agung ,Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,5000000,,
2018-01-24,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Tipar Cakung,Cakung Barat,Cakung, Kota Administrasi Jakarta Timur,1,10000000,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Glora 7,Gelora ,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-24,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl.Anggrek Neli Murni,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2018-01-24,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl.Daha II,No 14",Selong,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-24,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.Pegangsaan Dua,perumahan Arcadia",Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2018-01-25,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Bekasi Raya,Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,1,500000000,,
2018-01-25,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Agung Raya II, Gg. H. Joko, No.9",Lenteng Agung,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-25,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Matraman Dalam III No.2-4,Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,3,500000000,,
2018-01-25,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Putih Meati I, No.10E",Cipete Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,1,1800000000,,
2018-01-25,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Kramat Jaya,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-25,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Blora,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-26,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jembatan Lima No.26,Duri Utara,Tambora, Kota Administrasi Jakarta Barat,0,150000000,,
2018-01-26,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Mawar Kuning,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-26,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Tipar Cakung (SMP Man'baul Hikmah),Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-26,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Gaga Rawa Kompeni, Gg. Masjid Jami Ar- Rahim",Kamal,Kalideres, Kota Administrasi Jakarta Barat,4,200000000,,
2018-01-26,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Warung Jati Barat, Gg. Daksa Piun",Kalibata,Pancoran, Kota Administrasi Jakarta Selatan,2,50000000,,
2018-01-26,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pangeran Antasari (Ujung),Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan,0,60000000,,
2018-01-27,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Keutamaan Dalam rt. 7,8,9,10,11,12,13,14,15,16",Krukut,Tamansari, Kota Administrasi Jakarta Barat,600,4500000000,,
2018-01-27,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kramat Asem Raya No 44,Utan Kayu Selatan,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2018-01-27,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Cipta Sarana Gg.N,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2018-01-27,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Sunter Pulo Kecil,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,3,500000000,,
2018-01-27,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kelapa Puan,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-27,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Mujaer,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-27,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Pasar Blora,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-28,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Karet Pasar Baru Barat,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-28,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Cempaka Buntu, Cipete, Cilandak",Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-28,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Juana No.37,Menteng,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-28,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Kantor Kelurahan Mangga Dua Selatan, Jl. Mangga Dua Dalam No.1",Mangga Dua Selatan ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-28,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Cikini IV,Cikini,Menteng, Kota Administrasi Jakarta Pusat,0,700000,,
2018-01-28,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pinding  No.17,Cipedak,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-28,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. BKT ( Banjir Kanal Timur ),Pondok kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2018-01-29,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Ampera Raya,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,30000000,,
2018-01-29,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Pertiwi, No. 36",Susukan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2018-01-29,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Mastrip,Rambutan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2018-01-29,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Mabes TNI D.5, No. 31",Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-29,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Komplek Ragunan,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-29,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Komplek Monas (Sepatu Roda),Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-30,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kembang Murni II Blok J4 No 4,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2018-01-30,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kp.Sumur Utara,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,12,500000000,,
2018-01-30,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.Sungai Berantas No 817,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-30,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pantai Indah Utara III,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-30,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Cipete Raya No 2,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,10000000,,
2018-01-30,Penyelamatan,Pohon Tumbang,,Jl.Swadaya I,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-31,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl Dewi Sartika,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,0,5000000,,
2018-01-31,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Komplek PPOP Ragunan,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-31,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Apel No.9B,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-31,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. SD III No.53,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-31,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Jend. Ahmad Yani,Rawasari ,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-31,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Lapangan Futsal Monas,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Kelapa Dua Wetan,Kelapa Dua Wetan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2018-01-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kayu Putih Tengah Blok D1 No 8,Pulogadung,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
